question,rag_answer,original_answer,document_id
I just found this course late — can I still start it and join in now?,"Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Is it too late to enroll if I discovered the course after it already started?,I don't know.,"Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Can I still take part in the course even though I missed the beginning?,"Yes, you can still join the course even if you missed the beginning. If you want a certificate, you need to submit your project while submissions are still open.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"If I join the course late, am I still eligible for a certificate?","Yes, you can still join late, but to get a certificate you must submit your project while submissions are still open.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
What’s the deadline for submitting the project if I want to get a certificate?,I don’t know.,"Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"I signed up for LLM Zoomcamp, but I never got a confirmation email — should I be worried, or can I just start the course anyway?","You don’t need to worry. You’re accepted, and you can start the course even if you never received a confirmation email. Registration is just to gauge interest, and it isn’t checked against a registered list.

You can also begin learning and submitting homework while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Do I actually need to wait for an acceptance or confirmation message before I begin watching lectures and submitting homework?,"No. You can start watching lectures and submitting homework without waiting for any acceptance or confirmation message. The course says you’re accepted, and registration is just for gauging interest.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"Is registration for the LLM Zoomcamp required for access, or is it only there to help estimate interest before the course starts?","Registration is **not required for access**. You can start learning and submitting homework while the form is open, and it is **not checked against any registered list**. Registration is only there to **gauge interest before the course starts**.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"If I already filled out the registration form, does that mean I'm officially in, or is there some separate approval process?","You’re officially in — no separate approval is needed. Registration is just to gauge interest, and you can start learning and submitting homework even without registering.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"Will the homework submission system check my name against a registered participants list, or can anyone submit while the form is open?","It is **not checked against a registered participants list**. You can submit homework **as long as the form is open**, even if you didn’t register.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
How do students join the Office Hours or live workshop stream if the Zoom link isn’t shared publicly?,"Students join via **YouTube Live**, not the Zoom link. The Zoom link is only shared with instructors/presenters/TAs. The video URL is posted in the **announcements channel on Telegram and Slack** before the session starts, and students can also watch on the **DataTalksClub YouTube channel**. Questions should be submitted via **Slido** when live.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
